Invoice ID,Order ID,Customer Name,Item Total,ERP Tax,Invoice Total,Final Payable (Inclusive),Payment Status,Invoice Date
INV-1001,ORD_5001,Carol Ball,3931.27,707.63,4638.90,4788.90,PAID,2026-08-01T00:00:00Z
INV-1002,ORD_5002,Juan Barnes,2030.89,365.56,2396.45,2546.45,PAID,2026-08-02T00:00:00Z
INV-1003,ORD_5003,Erin Bullock,2249.38,404.89,2654.27,2804.27,PAID,2026-08-03T00:00:00Z
INV-1004,ORD_5004,James Miranda,4298.59,773.75,5072.34,5222.34,PAID,2026-08-04T00:00:00Z
INV-1005,ORD_5005,Karen Franklin,1672.03,300.97,1973.00,2123.00,PAID,2026-08-05T00:00:00Z
INV-1006,ORD_5006,Greg Evans,3471.75,624.92,4096.67,4246.67,PAID,2026-08-06T00:00:00Z
INV-1007,ORD_5007,John Morrison,312.14,56.19,368.33,518.33,PAID,2026-08-07T00:00:00Z
INV-1008,ORD_5008,Morgan Harris,2122.88,382.12,2505.00,2655.00,PAID,2026-08-08T00:00:00Z
INV-1009,ORD_5009,Stephanie Nichols,567.61,102.17,669.78,819.78,PAID,2026-08-09T00:00:00Z
INV-1010,ORD_5010,Glenn Smith,4739.65,853.14,5592.79,5742.79,PAID,2026-08-10T00:00:00Z
INV-1011,ORD_5011,Donna Ward,2033.81,366.09,2399.90,2549.90,PAID,2026-08-11T00:00:00Z
INV-1012,ORD_5012,Lisa Marshall,3995.40,719.17,4714.57,4864.57,PAID,2026-08-12T00:00:00Z
INV-1013,ORD_5013,Julia Bailey,3056.08,550.09,3606.17,3756.17,PAID,2026-08-13T00:00:00Z
INV-1014,ORD_5014,Cassandra Alexander,3551.08,639.19,4190.27,4340.27,PAID,2026-08-14T00:00:00Z
INV-1015,ORD_5015,Ethan Martinez,3086.25,555.53,3641.78,3791.78,PAID,2026-08-15T00:00:00Z
INV-1016,ORD_5016,Elizabeth Gibson,2640.19,475.23,3115.42,3265.42,PAID,2026-08-01T00:00:00Z
INV-1017,ORD_5017,Laurie Anderson,3610.62,649.91,4260.53,4410.53,PAID,2026-08-02T00:00:00Z
INV-1018,ORD_5018,Heather Sandoval,4411.46,794.06,5205.52,5355.52,PAID,2026-08-03T00:00:00Z
INV-1019,ORD_5019,Nicole Harris,4285.16,771.33,5056.49,5206.49,PAID,2026-08-04T00:00:00Z
INV-1020,ORD_5020,Ruth Wolf,2053.78,369.68,2423.46,2573.46,PAID,2026-08-05T00:00:00Z
INV-1021,ORD_5021,Bruce Cole,2514.62,452.63,2967.25,3117.25,PAID,2026-08-06T00:00:00Z
INV-1022,ORD_5022,Susan Brown,1366.82,246.03,1612.85,1762.85,PAID,2026-08-07T00:00:00Z
INV-1023,ORD_5023,Amy Larsen,314.48,56.61,371.09,521.09,PAID,2026-08-08T00:00:00Z
